id,lon,lat
1,6.0838868,50.7753455
2,24.6559,60.2054911
3,31.2357116,30.0444196
4,118.507011,31.67044
5,5.36978,43.296482
6,-60.0217314,-3.1190275
7,4.8951679,52.3702157
8,-48.1786486,-21.7848272
9,-111.9400054,33.4255104
10,-0.1869644,5.6037168
11,139.6917064,35.6894875
12,120.15507,30.274084
13,-97.7430608,30.267153
14,-97.7430608,30.267153
15,-76.6121893,39.2903848
16,13.404954,52.5200066
17,114.057865,22.543096
18,8.5324708,52.0302285
19,32.8597419,39.9333635
20,116.4073963,39.9041999
21,116.4073963,39.9041999
22,116.4073963,39.9041999
23,116.4073963,39.9041999
24,16.3738189,48.2081743
25,-0.630386,44.80583
26,-71.0588801,42.3600825
27,-71.0588801,42.3600825
28,139.8747636,35.9551921
29,-2.58791,51.454513
30,-123.1207375,49.2827291
31,23.3218675,42.6977082
32,-122.4442906,47.2528768
33,-114.0708459,51.0486151
34,-94.6707917,38.9822282
35,-3.17909,51.481581
36,-117.1610838,32.715738
37,120.4233654,23.5436443
38,121.237221,25.069656
39,11.97456,57.70887
40,116.4073963,39.9041999
41,116.4073963,39.9041999
42,-0.1277583,51.5073509
43,51.5310398,25.2854473
44,-77.042754,-12.0463731
45,6.7734556,51.2277411
46,-74.0059728,40.7127753
47,-76.5018807,42.4439614
48,118.796877,32.060255
49,120.6736482,24.1477358
50,-105.084423,40.5852602
51,-105.2705456,40.0149856
52,-70.861985,41.991213
53,-83.0103409,40.119413
54,78.0080745,27.1766701
55,-74.1744624,40.6895314
56,12.4949429,55.763516
57,-78.898619,35.9940329
58,-79.0558445,35.9131996
59,121.4737021,31.2303904
60,-3.188267,55.953252
61,-3.188267,55.953252
62,-84.3879824,33.7489954
63,6.6322734,46.5196535
64,-74.0059728,40.7127753
65,7.5885761,47.5595986
66,2.441782,48.629828
67,-70.9477546,42.9814292
68,119.296482,26.074478
69,-80.1289321,26.3683064
70,11.0119611,49.5896744
71,7.8421043,47.9990077
72,-84.2807329,30.4382559
73,121.4737021,31.2303904
74,121.4737021,31.2303904
75,-81.1873005,35.262082
76,-84.3879824,33.7489954
77,136.7606537,35.4232984
78,-4.251806,55.864237
79,22.9444191,40.6400629
80,5.737805,45.205168
81,6.5665017,53.2193835
82,113.264385,23.12911
83,9.9936819,53.5510846
84,-71.0588801,42.3600825
85,114.305539,30.592849
86,8.6724335,49.3987524
87,120.15507,30.274084
88,117.227219,31.820591
89,114.109497,22.396428
90,141.3543763,43.0620958
91,114.1290719,22.2679201
92,114.1796057,22.3185673
93,114.109497,22.396428
94,114.1974398,22.3771304
95,114.305539,30.592849
96,114.305539,30.592849
97,72.8776559,19.0759837
98,77.5945627,12.9715987
99,76.7178726,30.7046486
100,73.8567437,18.5204303
101,77.2090212,28.6139391
102,80.2707184,13.0826802
103,1.444209,43.604652
104,2.359279,48.792716
105,107.6191228,-6.9174639
106,-122.3320708,47.6062095
107,125.323544,43.817071
108,117.120095,36.6512
109,0.27568,51.195043
110,139.343138,35.486426
111,1.0789089,51.280233
112,-73.9441579,40.6781784
113,135.1955112,34.690083
114,4.7005176,50.8798438
115,126.9779692,37.566535
116,135.7680294,35.0116363
117,-84.0712997,34.0514898
118,103.834303,36.061089
119,-112.84184,49.69349
120,-112.84184,49.69349
121,15.6213728,58.410807
122,-101.8551665,33.5778631
123,13.1910073,55.7046601
124,151.1126498,-33.7738237
125,-2.2426305,53.4807593
126,-73.8648268,40.8447819
127,-84.5613355,39.3995008
128,-84.5613355,39.3995008
129,-83.7430378,42.2808256
130,-83.7430378,42.2808256
131,120.6736482,24.1477358
132,-71.5734197,43.1948092
133,-91.7715303,37.948544
134,0.1149085,52.2042666
135,37.6172999,55.755826
136,-84.4838654,42.7369792
137,11.6532477,48.2488721
138,-73.658945,40.5889551
139,118.796877,32.060255
140,118.796877,32.060255
141,118.796877,32.060255
142,15.439504,47.070714
143,120.2270277,22.9997281
144,120.9674798,24.8138287
145,126.534967,45.803775
146,123.431472,41.805699
147,-1.61778,54.978252
148,91.7362365,26.1445169
149,118.796877,32.060255
150,117.3616476,39.3433574
151,-71.0588801,42.3600825
152,-87.6876969,42.0450722
153,108.93977,34.341574
154,120.9674798,24.8138287
155,10.3950528,63.4305149
156,103.819836,1.352083
157,71.4703558,51.1605227
158,112.938814,28.228209
159,103.819836,1.352083
160,108.93977,34.341574
161,121.5654177,25.0329694
162,54.3773438,24.453884
163,121.544379,31.221517
164,120.382609,36.067108
165,-1.2577263,51.7520209
166,2.3522219,48.856614
167,-70.6692655,-33.4488897
168,2.3522219,48.856614
169,116.4073963,39.9041999
170,-75.1652215,39.9525839
171,71.5804899,34.0149748
172,-79.9958864,40.4406248
173,12.9573975,52.4038381
174,-74.6514481,40.3439888
175,-86.9080655,40.4258686
176,-73.9973608,41.9270367
177,116.4073963,39.9041999
178,80.2707184,13.0826802
179,-87.4139092,39.4667034
180,-95.3698028,29.7604267
